"Station","n_late","n_total","n_exteme_late","n_exteme_total"
"Arthurs Pass",13641,28141,1,7
"Ashburton Council",13857,29564,4,8
"Awatere Vly,Upcot",13488,29190,5,7
"Christchurch Gardens",13785,29493,4,8
"Cobb Power Station",12735,27242,3,7
"Dunedin, Btl Gardens",12767,28005,5,7
"Eastwoodhill Stn 2",13252,28918,3,7
"Elstow",13679,29336,6,8
"Eskdale Hedgeley",13778,27255,2,7
"Gladstone,Bannockburn",13724,29096,4,7
"Glenthorne, Upper Station",13171,28520,3,7
"Greentops",13313,28761,6,7
"Gwavas",13876,28085,3,7
"Hapuku-Grange Hill",13816,29467,4,8
"Hawkswood",13738,29442,2,8
"Hororata",13741,29429,3,8
"Invercargill Aero",13863,27976,6,7
"Kakahu Bush",13814,29408,4,8
"Kawhia",11992,27125,7,7
"Kohatu,Highfield 2",13721,24934,4,6
"Komako",13219,28922,5,7
"L Coleridge Homestead",13298,28895,3,7
"Lagoon Hill",12971,28617,4,7
"Lake Tekapo, Air Safaris",13870,29185,4,7
"Linkwater",13278,28242,2,7
"Lyndhurst Limewood Farm",13560,28856,3,7
"Magnet Bay",13852,29558,4,8
"Mapua",13564,29269,7,8
"Marangai Station",13809,27912,4,7
"Milford Sound",13867,29565,3,8
"Monowai",13813,29192,2,7
"Mt Vernon 2",13877,29502,5,8
"Nelson Aero",13820,27545,6,7
"Ngahinapouri",13785,29240,1,8
"Ngaio Downs",13753,18392,0,5
"Ohawe",5213,15573,2,4
"Ophir 2",10265,25622,4,7
"Orari Estate",13881,29583,4,8
"Orari Gorge",13804,29479,2,8
"Otoko",13736,29200,5,8
"Owhango, Kakahi Tce",12794,25159,2,6
"Putara",9456,19919,4,5
"Quarry Hills",13728,27973,3,7
"Queenstown",13850,29402,6,8
"Riverside",13500,28609,5,7
"Ross",13748,29241,3,8
"Rukuhanga Stn",13052,28719,5,7
"Russell",13269,27963,2,7
"Sevenoaks",13753,28106,1,7
"Shirley",13070,26944,3,7
"Springburn",13831,29492,3,8
"Stephens Island",11106,26750,5,7
"Tapanui",12602,28293,3,7
"Te Wharau, Glenburn",12296,27396,4,7
"Trentham Racecourse",13841,29515,5,8
"Trotters Creek",13413,28683,5,7
"Waipuna Woodville",13683,29289,2,8
"Wairau Vly,Southwold",13829,29351,5,8
"Wanganui,Spriggens Park Ews",13863,29082,3,7
"Ward,Chancet",13572,28120,4,7
"Whalesback Stn",13817,28670,2,7
